Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series C - Tackle,https://www.crunchbase.com/funding_round/tackle-io-series-c--5dd286ca,"Andreessen Horowitz, Bessemer Venture Partners, Coatue",Tackle,https://www.crunchbase.com/organization/tackle-io,Series C,100000000,USD,100000000,2021-12-21,"Andreessen Horowitz, Coatue",1150000000,USD,1150000000,148250000,USD,148250000
Series F - Rec Room,https://www.crunchbase.com/funding_round/against-gravity-series-f--5a503410,"Coatue, Employee Stock Option Fund, Index Ventures, Madrona, Sequoia Capital, Smash Capital",Rec Room,https://www.crunchbase.com/organization/against-gravity,Series F,145000000,USD,145000000,2021-12-20,Coatue,3355000000,USD,3355000000,294000000,USD,294000000
Series B - Airbyte,https://www.crunchbase.com/funding_round/airbyte-b3bb-series-b--9c6b8e4a,"Accel, Altimeter Capital, Benchmark, Coatue, Salesforce Ventures, SV Angel, Thrive Capital",Airbyte,https://www.crunchbase.com/organization/airbyte-b3bb,Series B,150000000,USD,150000000,2021-12-17,"Altimeter Capital, Coatue",1350000000,USD,1350000000,181200000,USD,181200000
Series B - Covetool,https://www.crunchbase.com/funding_round/cove-tool-series-b--d7842253,"Coatue, FootPrint Coalition, Knoll Ventures, Mucker Capital, Third Sphere",Covetool,https://www.crunchbase.com/organization/cove-tool,Series B,30000000,USD,30000000,2021-12-17,Coatue,,,,36750000,USD,36750000
Series F - Cockroach Labs,https://www.crunchbase.com/funding_round/cockroach-labs-series-f--1fe14153,"Altimeter Capital, Benchmark, Bond, Coatue, FirstMark, Google Ventures, Greenoaks, Index Ventures, JP Morgan Chase, K5 Global, Lone Pine Capital, Redpoint",Cockroach Labs,https://www.crunchbase.com/organization/cockroach-labs,Series F,278000000,USD,278000000,2021-12-16,Greenoaks,4722000000,USD,4722000000,633100000,USD,633100000
Series A - Silverflow,https://www.crunchbase.com/funding_round/silverflow-series-a--54623d2e,"Coatue, Crane Venture Partners, Gokul Rajaram, Inkef, Jason Gardner",Silverflow,https://www.crunchbase.com/organization/silverflow,Series A,17000000,USD,17000000,2021-12-16,Coatue,,,,36351623,USD,36351623
Series A - NIUTRON,https://www.crunchbase.com/funding_round/niutron-series-a--297e3e23,"Coatue, IDG Capital, Plum Ventures",NIUTRON,https://www.crunchbase.com/organization/niutron,Series A,500000000,USD,500000000,2021-12-15,"Coatue, IDG Capital",,,,500000000,USD,500000000
Series B - Cadence Solutions,https://www.crunchbase.com/funding_round/cadence-solutions-series-b--a2d6755d,"Coatue, General Catalyst, K5 Global, Thrive Capital",Cadence Solutions,https://www.crunchbase.com/organization/cadence-solutions,Series B,100000000,USD,100000000,2021-12-14,Coatue,900000000,USD,900000000,141000000,USD,141000000
Series A - Vay,https://www.crunchbase.com/funding_round/ree-technology-series-a--d782576b,"Atomico, Coatue, Creandum, Cristina Stenbeck, Eurazeo, Flixfounders, Kinnevik, La Famiglia, Patrick Pichette, Project A Ventures, Signals Venture Capital, Visionaries Club",Vay,https://www.crunchbase.com/organization/ree-technology,Series A,95000000,USD,95000000,2021-12-14,,,,,131928504,USD,131928504
Series F - Airtable,https://www.crunchbase.com/funding_round/airtable-series-f--9f3bdaad,"Benchmark, Caffeinated Capital, Coatue, D1 Capital Partners, Franklin Templeton, Friends & Family Capital, Greenoaks, ICONIQ Growth, J.P. Morgan Growth Equity Partners, MSD Capital, Night Owl Ventures, Salesforce Ventures, Silver Lake, T. Rowe Price, Thrive Capital, XN",Airtable,https://www.crunchbase.com/organization/airtable,Series F,735000000,USD,735000000,2021-12-13,XN,11000000000,USD,11000000000,1352600000,USD,1352600000
Series B - Runway,https://www.crunchbase.com/funding_round/runwayml-series-b--7ef5a7ef,Coatue,Runway,https://www.crunchbase.com/organization/runwayml,Series B,35000000,USD,35000000,2021-12-13,Coatue,165000000,USD,165000000,236500000,USD,236500000
Series B - Replit,https://www.crunchbase.com/funding_round/replit-series-b--22b87220,"Andreessen Horowitz, Bloomberg Beta, Coatue, Contrary, Fifth Down Capital, INBlockchain, Mattia Astori, Not Boring, Reach Capital, Vinay Hiremath, Volt Capital",Replit,https://www.crunchbase.com/organization/replit,Series B,80000000,USD,80000000,2021-12-09,Coatue,720000000,USD,720000000,222020000,USD,222020000
Series B - Edge Impulse,https://www.crunchbase.com/funding_round/edge-impulse-series-b--344d9306,"Acrew Capital, Canaan Partners, Coatue, Fika Ventures, Knollwood Investment Advisory, Momenta",Edge Impulse,https://www.crunchbase.com/organization/edge-impulse,Series B,34000000,USD,34000000,2021-12-09,Coatue,200000000,USD,200000000,54400000,USD,54400000
Funding Round - Braintrust,https://www.crunchbase.com/funding_round/braintrust-bac9-undisclosed--3ad176e6,"Blockchange Ventures, Coatue, Hashkey Exchange, Tiger Global Management, True Ventures",Braintrust,https://www.crunchbase.com/organization/braintrust-bac9,Funding Round,100000000,USD,100000000,2021-12-09,Coatue,,,,123500000,USD,123500000
Series C - Pleo,https://www.crunchbase.com/funding_round/pleo-company-series-c--1db2e838,"Alkeon Capital, Bain Capital Ventures, Coatue, Creandum, Founders, Kinnevik, Seedcamp, Stripes, Thrive Capital",Pleo,https://www.crunchbase.com/organization/pleo-company,Series C,200000000,USD,200000000,2021-12-09,Coatue,4500000000,USD,4500000000,470981637,USD,470981637
Series B - Clara,https://www.crunchbase.com/funding_round/clara-fintech-series-b--3c406b33,"Adapt Ventures, Alter Global, Avid Ventures, BoxGroup, Coatue, DST Global, Gaingels, General Catalyst, Global Founders Capital, ICONIQ Growth, monashees, Picus Capital, Sahin Boydas",Clara,https://www.crunchbase.com/organization/clara-fintech,Series B,70000000,USD,70000000,2021-12-06,Coatue,930000000,USD,930000000,408500000,USD,408500000
Series B - Panther,https://www.crunchbase.com/funding_round/panther-labs-series-b--660f0890,"Coatue, ICONIQ Growth, Innovation Endeavors, Lightspeed Venture Partners, S28 Capital, Snowflake Ventures",Panther,https://www.crunchbase.com/organization/panther-labs,Series B,120000000,USD,120000000,2021-12-02,Coatue,1280000000,USD,1280000000,140500000,USD,140500000
Series B - Commonwealth Fusion,https://www.crunchbase.com/funding_round/commonwealth-fusion-systems-series-b--83168bde,"Bill Gates, Breakthrough Energy Ventures, Coatue, DFJ Growth, Emerson Collective, Eni, Equinor Ventures, Fine Structure Venture, FootPrint Coalition, Future Ventures, Google, Helena, Hostplus, Jameel Investment Management Company, John Doerr, JS Capital, Khosla Ventures, Larry Kubal, Lowercarbon Capital, Moore Strategic Ventures, Quiet Capital, Roman Smolevskiy, Safar Partners, Sand Hill Angels, Schooner Capital, Senator Investment Group, Soros Fund Management, Starbridge Venture Capital, Starlight Ventures, Temasek Holdings, The Engine, Tiger Global Management, Time Ventures",Commonwealth Fusion,https://www.crunchbase.com/organization/commonwealth-fusion-systems,Series B,1800000000,USD,1800000000,2021-12-01,Tiger Global Management,,,,2014000000,USD,2014000000
Series B - CertiK,https://www.crunchbase.com/funding_round/certik-series-b--aa2edd61,"Coatue, Hillhouse Investment, Lightspeed Venture Partners, Sequoia Capital, Tiger Global Management",CertiK,https://www.crunchbase.com/organization/certik,Series B,80000000,USD,80000000,2021-12-01,Sequoia Capital,820000000,USD,820000000,300200000,USD,300200000
Series A - Raycast,https://www.crunchbase.com/funding_round/raycast-series-a--4bdd1e1b,"Accel, Coatue, Jason Warner, Jeff Weinstein, Johnny Boufarhat, Ott Kaukver",Raycast,https://www.crunchbase.com/organization/raycast,Series A,11200000,GBP,14890409,2021-11-30,"Accel, Coatue",,,,47785098,USD,47785098
Series B - FlexCompute,https://www.crunchbase.com/funding_round/flexcompute-series-b--8bf8adbc,"3W Investment, Coatue, Notable Capital, River Delta, WI Harper Group",FlexCompute,https://www.crunchbase.com/organization/flexcompute,Series B,22000000,USD,22000000,2021-11-29,Coatue,,,,81856448,USD,81856448
Series A - MoonPay,https://www.crunchbase.com/funding_round/moonpay-series-a--cc8ab9a7,"Abel Makkonen Tesfaye, Amir Esmailian, Ashton Kutcher, Aubrey Graham (Drake), Blossom Capital, Buck Stash, Calvin Broadus, Christian Edler, Coatue, DreamCrew, FJ Labs, Guy Oseary, Gwyneth Paltrow, HOF Capital, J.A.S Ventures, Jaws Ventures, Jean Abrial, Justin Bieber, K2 Global, K5 Global, Maria Sharapova, New Enterprise Associates, Night Ventures, North West Quadrant Ventures ( NWQ Ventures), Paradigm, Quiet Capital, The Aventures, Thrive Capital, Tiger Global Management, Tribe Capital, Valhalla Ventures, Walter Bruce Willis",MoonPay,https://www.crunchbase.com/organization/moonpay,Series A,555000000,USD,555000000,2021-11-22,"Coatue, Tiger Global Management",2845000000,USD,2845000000,650677600,USD,650677600
Series E - Deliverr,https://www.crunchbase.com/funding_round/deliverr-series-e--6c120b1f,"8VC, Activant Capital, Alumni Ventures, Brookfield Growth, Coatue, Employee Stock Option Fund, GLP, Tiger Global Management",Deliverr,https://www.crunchbase.com/organization/deliverr,Series E,250000000,USD,250000000,2021-11-22,Tiger Global Management,1750000000,USD,1750000000,490949991,USD,490949991
Series D - Niantic,https://www.crunchbase.com/funding_round/nianticlabs-series-d--4efd768a,"Coatue, ID8 Investments, Pure Imagination Brands",Niantic,https://www.crunchbase.com/organization/nianticlabs,Series D,300000000,USD,300000000,2021-11-22,Coatue,8700000000,USD,8700000000,770000000,USD,770000000
Series A - Sierra Space,https://www.crunchbase.com/funding_round/sierra-space-series-a--4734796d,"AE Industrial Partners, BlackRock Private Equity Partners, Coatue, General Atlantic, Moore Strategic Ventures",Sierra Space,https://www.crunchbase.com/organization/sierra-space,Series A,1400000000,USD,1400000000,2021-11-19,"Coatue, General Atlantic, Moore Strategic Ventures",3100000000,USD,3100000000,1690000000,USD,1690000000
