Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Series A - P.T.S ( Proweb Tech Solution ),Series A,Early-stage,Tiger Global Management,P.T.S ( Proweb Tech Solution ),Series A,"$10,000,000 ",4/1/18,2018,Tiger Global Management,"$10,000,000 ","$150,000,000 ",6.67%
Venture Round - TVF,Venture Round,Late-stage,"Tiger Global Management, Venture Highway",TVF,Venture - Series Unknown,"$6,000,000 ",7/20/18,2018,Tiger Global Management,"$34,000,000 ","$22,965,283 ",26.13%
Series C - Qualia,Series C,Late-stage,"8VC, Bienville Capital, Human Capital, Menlo Ventures, Tiger Global Management",Qualia,Series C,"$55,000,000 ",11/13/19,2019,Tiger Global Management,"$40,000,000 ","$160,000,000 ",34.38%
Series B - LogiNext,Series B,Early-stage,"Steadview Capital, Tiger Global Management",LogiNext,Series B,"$39,000,000 ",1/24/20,2020,"Steadview Capital, Tiger Global Management","$61,000,000 ","$49,600,000 ",78.63%
Series B - Koo App,Series B,Early-stage,"3one4 Capital, Accel, Blume Ventures, Dream Incubator, IIFL Finance, Kalaari Capital, Mirae Asset Capital, Tiger Global Management",Koo App,Series B,"$29,997,488 ",5/26/21,2021,Tiger Global Management,"$70,000,000 ","$50,773,765 ",59.08%
Series A - Blank Street,Series A,Early-stage,"Balius Partners, Dave Gilboa, FJ Labs, General Catalyst, Jaws Ventures, Jeffrey Raider, Neil Blumenthal, Quiet Capital, Tiger Global Management, Tishman Speyer",Blank Street,Series A,"$25,000,000 ",10/13/21,2021,"General Catalyst, Tiger Global Management","$73,000,000 ","$113,824,340 ",21.96%
Series D - TVF,Series D,Late-stage,Tiger Global Management,TVF,Series D,"$4,970,000 ",5/22/19,2019,Tiger Global Management,"$77,030,000 ","$22,965,283 ",21.64%
Series B - The Org,Series B,Early-stage,"Balderton Capital, Founders Fund, Gavin Baker, Lars Fjeldsoe-Nielsen, Neeraj Arora, Sequoia Capital, Thursday Ventures, Tiger Global Management",The Org,Series B,"$20,000,000 ",9/16/21,2021,Tiger Global Management,"$80,000,000 ","$31,100,000 ",64.31%
Series A - Selfbook,Series A,Early-stage,"9Yards Capital, Abstract Ventures, Angus Davis, Better Tomorrow Ventures, Fin Capital, TenOneTen Ventures, Tiger Global Management, Valia Ventures",Selfbook,Series A,"$25,000,000 ",10/25/21,2021,Tiger Global Management,"$100,000,000 ","$42,950,000 ",58.21%
Series B - CleverTap,Series B,Early-stage,"Accel, Peak XV Partners, Tiger Global Management",CleverTap,Series B,"$26,000,000 ",4/10/19,2019,Peak XV Partners,"$124,000,000 ","$181,600,000 ",14.32%
