Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series A - DermBiont,https://www.crunchbase.com/funding_round/dermbiont-series-a--a13b7cd2,"Civilization Ventures, Nan Fung Life Sciences, Olive Tree Capital, Toba Capital, Viking Global Investors",DermBiont,https://www.crunchbase.com/organization/dermbiont,Series A,28000000,USD,28000000,2021-12-21,Nan Fung Life Sciences,,,,108481329,USD,108481329
Series B - Mythic Therapeutics,https://www.crunchbase.com/funding_round/mythic-therapeutics-series-b--8401128f,"First Round Capital, Foresite Capital, Highside Capital Management, Lifeforce Capital, OMX Ventures, Perceptive Advisors, Refactor, Venrock, Venrock Healthcare Capital Partners, Viking Global Investors",Mythic Therapeutics,https://www.crunchbase.com/organization/mythic-therapeutics,Series B,103000000,USD,103000000,2021-12-15,Viking Global Investors,,,,126599251,USD,126599251
Series E - Color,https://www.crunchbase.com/funding_round/color-genomics-series-e--9ffcec67,"Emerson Collective, General Catalyst, Kindred Ventures, T. Rowe Price, Viking Global Investors, WR Hambrecht",Color,https://www.crunchbase.com/organization/color-genomics,Series E,100000000,USD,100000000,2021-11-09,"Kindred Ventures, T. Rowe Price",4500000000,USD,4500000000,482000000,USD,482000000
Series D - Cloudbeds,https://www.crunchbase.com/funding_round/cloudbeds-series-d--d7d68ff0,"Counterpart Ventures, Echo Street Capital, PeakSpan Capital, SoftBank Vision Fund, Viking Global Investors, Walleye Capital",Cloudbeds,https://www.crunchbase.com/organization/cloudbeds,Series D,150000000,USD,150000000,2021-11-03,SoftBank Vision Fund,,,,248440000,USD,248440000
Series A - Arcaea,https://www.crunchbase.com/funding_round/arcaea-series-a--2acbc44d,"Cascade Investment, CHANEL, Givaudan, Viking Global Investors, Wittington Ventures",Arcaea,https://www.crunchbase.com/organization/arcaea,Series A,78000000,USD,78000000,2021-10-27,,,,,78000000,USD,78000000
Series A - Patina,https://www.crunchbase.com/funding_round/patina-9cbb-series-a--445b7f19,"Andreessen Horowitz, F-Prime Capital, Google Ventures, Rock Springs Capital, Viking Global Investors",Patina,https://www.crunchbase.com/organization/patina-9cbb,Series A,50000000,USD,50000000,2021-10-26,"Andreessen Horowitz, Google Ventures",,,,57000000,USD,57000000
Series B - Groove,https://www.crunchbase.com/funding_round/groove-2-series-b--555f4d3c,"Capital One Ventures, Level Equity Management, Quest Venture Partners, Uncork Capital, Viking Global Investors",Groove,https://www.crunchbase.com/organization/groove-2,Series B,45000000,USD,45000000,2021-10-14,Viking Global Investors,,,,61000000,USD,61000000
Private Equity Round - Global Processing Services,https://www.crunchbase.com/funding_round/global-processing-services-private-equity--08bfe73f,"Advent International, Viking Global Investors",Global Processing Services,https://www.crunchbase.com/organization/global-processing-services,Private Equity,300000000,USD,300000000,2021-10-13,"Advent International, Viking Global Investors",,,,457962767,USD,457962767
Post-IPO Equity - Roivant Sciences,https://www.crunchbase.com/funding_round/roivant-sciences-post-ipo-equity--4f87da6d,"Dainippon Sumitomo Pharma, Eventide, Fidelity, Palantir Technologies, Patient Square Capital, RTW Investments, SoftBank Capital, Suvretta Capital Management, Viking Global Investors",Roivant Sciences,https://www.crunchbase.com/organization/roivant-sciences,Post-IPO Equity,200000000,USD,200000000,2021-10-01,,,,,2473000000,USD,2473000000
Series C - AlphaSense,https://www.crunchbase.com/funding_round/alphasense-series-c--433d6fcd,"AllianceBernstein, Bank of America, Barclays Corporate Banking, Citi, Cowen Group, Goldman Sachs Asset Management, Morgan Stanley, Principia Growth, Trajectory Ventures, Viking Global Investors, Wells Fargo Strategic Capital",AlphaSense,https://www.crunchbase.com/organization/alphasense,Series C,180000000,USD,180000000,2021-09-30,"Goldman Sachs Asset Management, Viking Global Investors",,,,1420053806,USD,1420053806
Series A - Astarte Medical,https://www.crunchbase.com/funding_round/astarte-medical-partners-series-a--de741ae8,"Ben Franklin Technology Partners of Southeastern Pennsylvania, Capita3, Leatherneck Ventures, Lunsford Capital, Next Act Fund, OCA Ventures, Social Venture Circle, Viking Global Investors",Astarte Medical,https://www.crunchbase.com/organization/astarte-medical-partners,Series A,7600000,USD,7600000,2021-09-22,,,,,12600000,USD,12600000
Post-IPO Equity - Ginkgo Bioworks,https://www.crunchbase.com/funding_round/ginkgo-bioworks-post-ipo-equity--8cf35794,"ARK Investment Management, ArrowMark Partners, Baillie Gifford, Bain Capital Public Equity, Cascade Investment, Casdin Capital, Counterpoint Global, Franklin Advisors, Putnam Investments, T. Rowe Price, Viking Global Investors",Ginkgo Bioworks,https://www.crunchbase.com/organization/ginkgo-bioworks,Post-IPO Equity,775000000,USD,775000000,2021-09-17,,,,,1575403063,USD,1575403063
Series B - Biome Makers,https://www.crunchbase.com/funding_round/biome-makers-series-b--e424e320,"JME Ventures, Prosus Ventures, Pymwymic, Seaya, Viking Global Investors",Biome Makers,https://www.crunchbase.com/organization/biome-makers,Series B,15000000,USD,15000000,2021-08-25,Prosus Ventures,,,,24997871,USD,24997871
Series E - Apeel Sciences,https://www.crunchbase.com/funding_round/apeel-sciences-series-e--0f614dba,"Andreessen Horowitz, Anne Wojcicki, David Barber, Disruptive Technologies, GIC, K3 Ventures, Katy Perry, Michael Ovitz, Mirae Asset, Mirae Asset Capital, Santa Barbara Angel Alliance, Susan Wojcicki, Sweetwater Capital Partners, Tao Capital Partners, Temasek Holdings, Tenere Capital, Viking Global Investors",Apeel Sciences,https://www.crunchbase.com/organization/apeel-sciences,Series E,250000000,USD,250000000,2021-08-18,Temasek Holdings,1750000000,USD,1750000000,719060564,USD,719060564
Series D - Talkdesk,https://www.crunchbase.com/funding_round/talkdesk-series-d--aba1f4d5,"Alpha Square Group, Amity Ventures, Franklin Templeton, TI Platform Management, Top Tier Capital Partners, Viking Global Investors, Whale Rock Capital Management, Willoughby Capital",Talkdesk,https://www.crunchbase.com/organization/talkdesk,Series D,230000000,USD,230000000,2021-08-12,,9770000000,USD,9770000000,497450000,USD,497450000
Venture Round - Pepgen,https://www.crunchbase.com/funding_round/pepgen-corporation-series-unknown--39dc1414,"Adage Capital Management, CureDuchenne Ventures, Deerfield, Gray’s Creek Capital Partners, Laurion Capital Management, Oxford Science Enterprises, Qatar Investment Authority, RA Capital Management, Samsara BioCapital, Tudor Investments, Viking Global Investors",Pepgen,https://www.crunchbase.com/organization/pepgen-corporation,Venture - Series Unknown,112500000,USD,112500000,2021-08-05,,,,,239675523,USD,239675523
